symbol,name,sector,currency,created_at
0700.HK,Tencent,Technology,HKD,2026-08-05 11:10:53
0005.HK,"HSBC HOLDINGS,HKEX",Financial Services,HKD,2026-08-05 11:10:53
2318.HK,PING AN,Financial Services,HKD,2026-08-05 11:10:53
9988.HK,BABA-W,Consumer Cyclical,HKD,2026-08-05 11:10:53
2628.HK,CHINA LIFE,Financial Services,HKD,2026-08-05 11:10:53
0941.HK,CHINA MOBILE,Communication Services,HKD,2026-08-05 11:10:53
0981.HK,SMIC,Technology,HKD,2026-08-05 11:10:53
1888.HK,KB LAMINATES,CTechnology,HKD,2026-08-05 11:10:53
